@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
3,-1.6129,130.059,8.9949e-06,3.213e-05,84.9,267.54,11.48,332,1,1.024,1,0.121287,'357512',0.431632181396708,0.403534562094137,0.603638160973787,0.926130380714312,0.00408568303100765,0.588580855634063,0.243637079838663,0.218681795755401
6.7,-0.4048,?,7.5965e-07,?,16.7,8.19,9.39,200,1,1.024,0,0.0952019,'324561',0.850191716104746,0.905702158575878,0.87760722823441,0.402110214577988,0.729233498685062,0.392990677151829,0.226852911757305,0.0314161428250372
1.489,-1.5457,146.355,1.3632e-05,?,80.6,103.24,10.8,295,1,1.024,1,0.0942382,'205851',0.88613356393762,0.395307464292273,0.983818826265633,0.379312421428040,0.607614782406017,0.242748495656997,0.940770868444815,0.240884827217087
2.625,-0.8031,?,1.0975e-06,8.603e-06,17.7,79.79,8.87,1732,0,64,1,0.200246,'353540',0.542923466768116,0.784835173049942,0.103320535039529,0.00189304258674383,0.700226009823382,0.999335480621085,0.265172992832959,0.350576695054770
4.41,-1.008,?,6.7621e-07,?,18,8.4,9.99,269,1,1.024,1,0.140174,'192059',0.784368903376162,0.886741885449737,0.997141309082508,0.0344190539326519,0.0370016559027135,0.0276151730213314,0.530126087833196,0.97992176702246
5.11,-0.6852,?,1.2156e-06,?,16.5,74.1,13.36,3110,0,64,1,0.227997,'211117',0.283390894997865,0.0618189491797239,0.768799918470904,0.83489968138747,0.398542472394183,0.850154793355614,0.876260568154976,0.780804071808234
2.737,-1.6963,?,?,?,11.8,192.92,?,?,?,?,1,0.122711,'359530',0.0964041794650257,0.878033126005903,0.863760658772662,0.573979903245345,0.171689823037013,0.243608108256012,0.661800148664042,0.31436019577086
1.8,-0.9885,?,6.5142e-07,2.37e-05,30.1,7.5,8.22,161,1,0.512,1,0.116582,'217805',0.111792896874249,0.673907077871263,0.259456702275202,0.74734733439982,0.756411333568394,0.90840526856482,0.60426834016107,0.704832691000775
3.425,-0.6565,?,?,?,20.1,75.14,8.58,380,1,4.096,1,0.201207,'217704',0.811741874786094,0.406968642957509,0.533794750925153,0.00283530936576426,0.686548728030175,0.167017301544547,0.824530892074108,0.134916488779709
2.4266,?,29.1842,2.6894e-06,4.512e-05,27.5,361.92,7.4,215,1,1.024,1,0.0703095,'305288',0.338572569889948,0.796476175542921,0.811965204309672,0.203452348941937,0.122901980765164,0.256923301145434,0.286513358354568,0.65809231926687
