% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.69200e+00,?,-2.26800e+00,?,?,?,1.92240e+00,1.59000e+01,?,?,9.48000e+00,4.55000e+02,4.09600e+00,6.91755e-02,1.51807e-01,2.89081e-01,4.74151e-01,7.69392e-01,yes,yes
3.30000e+00,-1.79380e+00,?,?,?,?,1.98260e+00,3.75000e+01,?,?,8.20000e+00,2.31000e+02,1.02400e+00,3.83448e-02,1.10285e-01,2.60638e-01,5.03353e-01,8.55128e-01,yes,no
7.03000e-01,-9.95700e-01,?,?,?,3.16100e-05,2.13990e+00,3.42000e+01,?,?,8.68000e+00,1.62000e+02,5.12000e-01,5.20701e-02,1.43441e-01,3.21967e-01,5.81015e-01,8.96823e-01,yes,yes
2.69000e+00,-1.22090e+00,?,?,?,?,2.27630e+00,7.00000e+01,?,?,1.06300e+01,2.13000e+02,5.12000e-01,3.14160e-02,8.54879e-02,1.98377e-01,4.04829e-01,8.23350e-01,yes,yes
6.29000e+00,-1.17180e+00,?,?,?,1.32900e-04,1.85760e+00,3.84000e+01,?,?,1.32600e+01,2.82000e+03,6.40000e+01,5.28696e-02,1.48584e-01,3.35609e-01,5.99798e-01,9.07220e-01,no,no
3.35000e+00,-1.71320e+00,?,?,?,?,2.90500e+00,1.25000e+01,?,?,9.29000e+00,3.11000e+02,2.04800e+00,5.85889e-02,1.55611e-01,3.37048e-01,5.87704e-01,8.92169e-01,yes,yes
1.10000e+00,-1.18960e+00,?,?,?,9.99700e-05,2.01970e+00,6.44000e+01,?,?,2.30000e+01,1.45000e+03,1.02400e+00,5.51507e-03,1.72518e-02,4.63625e-02,1.15916e-01,4.12009e-01,yes,yes
2.43300e+00,-1.56000e+00,?,?,?,?,2.16770e+00,7.48000e+01,?,?,9.06000e+00,2.09000e+02,5.12000e-01,3.04007e-02,9.53979e-02,2.43350e-01,4.99351e-01,8.66384e-01,yes,yes
6.06000e-01,-8.30000e-01,?,?,?,1.40200e-05,1.98050e+00,3.39900e+02,?,?,1.80000e+01,?,6.40000e-02,4.12665e-03,1.23453e-02,3.13572e-02,7.24646e-02,2.23949e-01,yes,yes
4.42800e-01,-4.66600e-01,?,?,?,8.36400e-06,2.72830e+00,8.10000e+00,?,?,9.39000e+00,4.37000e+02,4.09600e+00,1.87787e-02,5.25430e-02,1.28091e-01,2.82175e-01,6.90975e-01,yes,yes
1.54500e+00,?,-3.35470e+00,?,?,?,2.23310e+00,8.30000e+00,?,?,?,?,?,6.43553e-03,2.01623e-02,5.49656e-02,1.39633e-01,4.51003e-01,?,yes
7.83000e-01,-1.73670e+00,?,?,?,1.08500e-04,2.78260e+00,1.51000e+01,?,?,7.00000e+00,1.26000e+03,6.40000e+01,1.30697e-01,2.90466e-01,5.29428e-01,7.70998e-01,9.60069e-01,no,no
4.04500e+00,-1.18430e+00,?,?,?,5.76100e-06,1.87580e+00,4.51000e+01,?,?,1.01700e+01,1.99000e+02,5.12000e-01,3.95367e-02,1.16370e-01,2.75864e-01,5.24496e-01,8.65239e-01,yes,yes
9.47000e-01,-1.46630e+00,?,?,?,?,2.05160e+00,1.36300e+02,?,?,0.00000e+00,0.00000e+00,0.00000e+00,1.27163e-02,3.41254e-02,7.94585e-02,1.67269e-01,4.50923e-01,yes,no
3.22100e+00,-1.87630e+00,?,?,?,1.08200e-05,1.99530e+00,2.35000e+01,?,?,9.05000e+00,1.79000e+02,5.12000e-01,7.23053e-02,1.81242e-01,3.74104e-01,6.23967e-01,9.04462e-01,yes,yes
