% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Jul 20 23:57:44 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
4.66700e+00,-1.37280e+00,5.85787e+01,1.04000e+01,-1.20000e-02,3.10500e+01,7.44000e+00,1.42600e+03,6.40000e+01,1.42291e-01,no,yes,412982
5.91500e-01,-1.74020e+00,5.12649e+01,1.34000e+01,-2.37000e-01,1.73800e+01,9.00000e+00,?,8.19200e+00,1.73641e-01,yes,no,106709
9.37000e-01,-1.69660e+00,1.42501e+02,4.35000e+01,?,5.92000e+00,1.98500e+01,9.27000e+02,1.02400e+00,5.78667e-02,yes,yes,229185
2.68000e+00,?,2.05322e+01,6.40000e+00,?,3.99000e+01,6.78000e+00,3.45000e+02,4.09600e+00,1.16809e-01,yes,yes,213486
3.78000e+00,-3.39400e-01,?,1.64000e+01,?,1.85400e+01,7.96000e+00,3.63000e+02,3.07200e+00,1.34062e-01,yes,yes,213630
3.35500e+00,-1.93930e+00,?,2.26000e+01,?,4.20000e+01,1.08300e+01,1.51000e+03,6.40000e+01,1.18595e-01,no,no,252593
3.62600e+00,-1.17770e+00,1.92945e+02,2.68000e+01,-2.00000e-03,3.30660e+02,?,?,?,1.15814e-01,?,yes,285654
1.14000e+00,-1.57120e+00,5.67923e+01,1.00000e+01,-4.70000e-02,7.92000e+01,7.13000e+00,1.48500e+03,6.40000e+01,2.04159e-01,no,yes,297114
1.94900e+00,?,6.20052e+01,4.37000e+01,9.60000e-02,9.46000e+01,8.00000e+00,?,1.02400e+00,9.27309e-02,yes,no,111063
3.24000e+00,-1.99880e+00,?,1.82000e+01,?,1.53550e+02,1.00000e+01,?,1.02400e+00,1.47537e-01,yes,yes,111622
1.44000e+00,-1.21720e+00,5.08613e+01,4.90000e+01,?,3.09600e+01,9.00000e+00,?,5.12000e-01,6.29064e-02,yes,yes,111529
1.41600e+00,-1.72420e+00,5.57354e+01,1.61000e+01,-1.80000e-02,1.25280e+02,1.16800e+01,2.76300e+03,6.40000e+01,2.58199e-01,no,yes,313116
1.63980e+00,-1.12550e+00,?,1.57500e+02,?,1.95700e+01,2.58200e+01,1.60400e+03,1.02400e+00,2.89854e-02,yes,yes,313299
3.03600e+00,-1.16520e+00,8.60327e+02,1.23000e+02,1.42000e-01,8.36600e+01,1.78700e+01,7.41000e+02,1.02400e+00,2.82951e-02,yes,yes,313417
5.40000e-01,-1.29380e+00,1.41254e+02,7.19800e+02,9.70000e-02,1.15200e+02,2.25700e+01,1.09700e+03,1.02400e+00,2.61202e-02,yes,yes,355083
3.03800e+00,-1.31150e+00,?,4.20000e+01,?,2.75590e+02,1.79500e+01,6.71900e+03,1.28000e+02,2.85280e-01,no,yes,332851
2.35200e+00,-1.52590e+00,8.22751e+01,2.59000e+01,-3.00000e-03,4.77000e+01,1.02300e+01,4.91000e+02,3.07200e+00,2.08746e-01,yes,yes,255445
4.90000e+00,-1.41330e+00,?,2.23000e+01,?,2.29890e+02,1.05400e+01,2.18800e+03,6.40000e+01,3.08321e-01,no,no,209352
8.20000e-01,-1.00400e+00,?,2.62100e+02,2.45000e-01,2.12000e+01,?,?,?,2.02600e-02,?,yes,278854
3.84790e+00,-1.43330e+00,1.29472e+02,1.60000e+01,?,1.69100e+02,1.14900e+01,2.13800e+03,6.40000e+01,2.18448e-01,no,yes,332931
2.31000e+00,?,3.10335e+01,8.60000e+00,?,3.55000e+00,8.48000e+00,2.08300e+03,6.40000e+01,1.01626e-01,no,yes,278693
3.91000e+00,-1.47440e+00,9.64822e+01,4.28000e+01,7.20000e-02,3.69940e+02,8.42000e+00,2.04000e+02,1.02400e+00,1.75267e-01,yes,no,180977
3.44000e+00,-6.58800e-01,1.44268e+02,1.58000e+01,?,3.23900e+01,8.14000e+00,3.61000e+02,4.09600e+00,7.19493e-02,yes,no,238174
3.31000e-02,-8.43700e-01,?,6.30000e+00,3.90000e-01,1.28000e+02,7.84000e+00,2.11100e+03,8.00000e+01,2.71464e-01,no,yes,191157
6.96000e-01,-6.80300e-01,?,1.37000e+01,-7.90000e-02,1.13160e+02,1.00100e+01,1.83700e+03,8.80000e+01,2.16866e-01,no,yes,359951
2.51200e+00,-5.20800e-01,?,2.44000e+01,?,1.93800e+01,9.79000e+00,2.41000e+02,4.09600e+00,8.96585e-02,yes,yes,335105
