@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@data
1.6398,-1.1255,?,?,?,4.126e-05,1.7951,157.5,?,?,25.82,1604,1.024,0.00803222,0.0289854,0.0881096,0.243073,0.718383,'yes','yes',0.316715917550027
3.036,-1.1652,?,?,?,4.244e-05,2.1609,123,?,?,17.87,741,1.024,0.00689194,0.0282951,0.0951902,0.27602,0.731695,'yes','yes',0.450024179415777
0.54,-1.2938,?,?,?,0.0001623,1.973,719.8,?,?,22.57,1097,1.024,0.0093361,0.0261202,0.0618719,0.126659,0.29582,'yes','yes',0.936938965693116
3.038,-1.3115,?,?,?,9.483e-05,2.0491,42,?,?,17.95,6719,128,0.133848,0.28528,0.513016,0.757435,0.959684,'no','no',0.15556903462857
1.55,-1.016,?,?,?,4.785e-05,2.202,62.6,?,?,15.07,525,1.024,0.0417113,0.123815,0.295916,0.55972,0.890681,'yes','yes',0.933687012642622
2.352,-1.5259,?,?,?,2.697e-05,2.0755,25.9,?,?,10.23,491,3.072,0.0829877,0.208746,0.424062,0.681678,0.932453,'yes','yes',0.569767832756042
4.9,-1.4133,?,?,?,?,2.1623,22.3,?,?,10.54,2188,64,0.14337,0.308321,0.549178,0.787899,0.965569,'no','no',0.274850624380633
2.71,-1.1771,?,?,?,4.765e-05,2.3996,17.2,?,?,11.07,1020,12.16,0.0356374,0.0872283,0.187079,0.359164,0.753257,'yes','yes',0.633707228349522
0.82,-1.004,?,?,?,5.926e-05,1.8098,262.1,?,?,?,?,?,0.00582563,0.02026,0.0597917,0.163331,0.57865,?,'yes',0.808515614597127
3.8479,-1.4333,?,?,?,3.569e-05,1.9514,16,?,?,11.49,2138,64,0.0884743,0.218448,0.438525,0.69749,0.93966,'no','yes',0.525723425205797
2.31,?,-2.0015,?,?,?,2.2968,8.6,?,?,8.48,2083,64,0.0340764,0.101626,0.245502,0.481101,0.83869,'no','yes',0.237747537903488
3.91,-1.4744,?,?,?,0.0003059,2.1023,42.8,?,?,8.42,204,1.024,0.0665156,0.175267,0.378437,0.650194,0.929903,'yes','no',0.832938289735466
3.44,-0.6588,?,?,?,?,2.1926,15.8,?,?,8.14,361,4.096,0.0211573,0.0719493,0.195245,0.427228,0.820965,'yes','no',0.744728934718296
0.0331,-0.8437,?,?,?,?,3.83,6.3,?,?,7.84,2111,80,0.127173,0.271464,0.491152,0.731842,0.948556,'no','yes',0.0753290310967714
0.696,-0.6803,?,?,?,?,1.6982,13.7,?,?,10.01,1837,88,0.0953682,0.216866,0.417916,0.666279,0.929137,'no','yes',0.918038232484832
2.512,-0.5208,?,?,?,9.472e-05,1.9029,24.4,?,?,9.79,241,4.096,0.0279732,0.0896585,0.233307,0.488493,0.861568,'yes','yes',0.127940609352663
1.165,-0.4458,?,?,?,?,2.2145,10.3,?,?,7.29,187,1.408,0.0628252,0.163681,0.349422,0.601539,0.899157,'yes','no',0.24679312040098
