% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 11:18:43 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
1.14000e+00,-1.57120e+00,?,?,?,1.39300e-03,1.77820e+00,1.00000e+01,?,?,7.13000e+00,1.48500e+03,6.40000e+01,no,yes
4.90000e-01,?,-2.13260e+00,?,?,4.08600e-05,1.81440e+00,5.07000e+01,?,?,1.79500e+01,6.60000e+02,1.02400e+00,yes,yes
1.24000e+00,-4.64000e-01,?,?,?,?,1.66340e+00,6.33000e+01,?,?,6.74000e+00,1.56000e+02,1.02400e+00,yes,no
1.29000e+00,-1.29310e+00,?,?,?,?,2.21080e+00,1.62000e+01,?,?,?,?,?,?,no
2.58000e+00,?,-2.13830e+00,?,?,?,?,1.98000e+01,?,?,?,?,?,?,no
1.03000e+00,-1.67810e+00,?,?,?,1.60800e-04,1.98730e+00,3.79300e+02,?,?,8.14000e+00,7.70000e+01,6.40000e-02,yes,yes
2.45000e+00,-1.81960e+00,?,?,?,?,1.96580e+00,7.30000e+00,?,?,7.15000e+00,1.46500e+03,6.40000e+01,no,no
9.71000e-01,-1.68830e+00,?,?,?,6.29000e-05,2.05840e+00,8.33000e+01,?,?,1.14700e+01,2.00000e+02,2.56000e-01,yes,yes
3.24000e+00,-1.99880e+00,?,?,?,1.24900e-04,1.99950e+00,1.82000e+01,?,?,1.00000e+01,?,1.02400e+00,yes,yes
2.17000e+00,-7.46100e-01,?,?,?,?,2.12910e+00,2.46000e+01,?,?,?,?,?,?,yes
4.66700e+00,-1.37280e+00,?,?,?,?,1.65610e+00,1.04000e+01,?,?,7.44000e+00,1.42600e+03,6.40000e+01,no,yes
