% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Sep  6 02:24:03 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
3.355e+00,-1.939e+00,5.178e+01,3.285e-06,2.260e+01,5.500e-02,4.200e+01,1.510e+03,6.400e+01,1.186e-01,no,no,252593
3.626e+00,-1.178e+00,4.055e+02,7.448e-06,2.680e+01,-2.000e-03,3.307e+02,?,?,1.158e-01,?,yes,285654
1.140e+00,-1.571e+00,1.105e+02,1.037e-06,1.000e+01,-4.700e-02,7.920e+01,1.485e+03,6.400e+01,2.042e-01,no,yes,297114
1.949e+00,?,4.332e+01,4.319e-06,4.370e+01,9.600e-02,9.460e+01,?,1.024e+00,9.273e-02,yes,no,111063
3.240e+00,-1.999e+00,4.473e+01,1.865e-06,1.820e+01,1.500e-02,1.536e+02,?,1.024e+00,1.475e-01,yes,yes,111622
1.440e+00,-1.217e+00,5.008e+01,1.408e-06,4.900e+01,1.800e-02,3.096e+01,?,5.120e-01,6.291e-02,yes,yes,111529
1.416e+00,-1.724e+00,7.408e+01,1.452e-06,1.610e+01,-1.800e-02,1.253e+02,2.763e+03,6.400e+01,2.582e-01,no,yes,313116
1.640e+00,-1.126e+00,2.226e+02,2.232e-05,1.575e+02,1.520e-01,1.957e+01,1.604e+03,1.024e+00,2.899e-02,yes,yes,313299
3.036e+00,-1.165e+00,9.025e+02,5.119e-05,1.230e+02,1.420e-01,8.366e+01,7.410e+02,1.024e+00,2.830e-02,yes,yes,313417
5.400e-01,-1.294e+00,1.384e+02,1.477e-04,7.198e+02,9.700e-02,1.152e+02,1.097e+03,1.024e+00,2.612e-02,yes,yes,355083
3.038e+00,-1.312e+00,6.703e+01,4.317e-06,4.200e+01,1.800e-02,2.756e+02,6.719e+03,1.280e+02,2.853e-01,no,yes,332851
