% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.35810e+00,8.23879e+01,2.03870e-06,1.44000e+01,-2.95000e-01,3.72000e+01,1.02400e+01,4.93000e+02,4.09600e+00,1.25755e-01,yes,no,280958
?,-9.48800e-01,?,9.86820e-07,2.16000e+01,-3.80000e-02,5.53800e+01,?,?,?,2.04002e-01,?,no,312242
?,-1.82050e+00,?,?,9.10000e+00,?,1.09200e+01,9.86000e+00,1.96000e+02,5.12000e-01,1.16865e-01,yes,no,254532
?,-1.13350e+00,4.96844e+02,1.19540e-05,4.82000e+01,?,3.57500e+02,1.72900e+01,4.80900e+03,9.60000e+01,9.52503e-02,no,yes,255029
?,-1.50540e+00,5.92061e+01,?,1.20000e+01,?,8.36600e+01,8.16000e+00,1.56600e+03,8.00000e+01,2.07748e-01,no,no,180151
?,-1.58000e+00,7.25419e+01,8.05870e-07,2.53000e+01,-3.00000e-03,1.74400e+01,1.30000e+01,?,1.02400e+00,1.09499e-01,yes,no,116116
?,?,2.76169e+01,?,5.30000e+00,?,6.36000e+00,6.71000e+00,3.81000e+02,4.09600e+00,7.42117e-02,yes,no,251863
?,?,3.27096e+01,1.93360e-07,7.50000e+00,?,4.76000e+00,6.53000e+00,2.07000e+02,2.04800e+00,9.33003e-02,yes,yes,337115
?,-1.10520e+00,?,1.67390e-06,4.21000e+01,?,1.11100e+01,8.34000e+00,1.33000e+02,2.56000e-01,1.08356e-01,yes,no,206257
?,-1.75050e+00,?,?,6.20000e+00,?,4.30700e+01,9.47000e+00,1.80100e+03,6.40000e+01,2.08298e-01,no,no,207281
?,-1.71980e+00,3.84762e+01,?,8.40000e+00,?,1.04500e+01,6.47000e+00,3.52000e+02,5.50400e+00,1.25956e-01,yes,no,164279
?,-1.87330e+00,?,3.60570e-07,1.23000e+01,?,9.60000e+00,7.61000e+00,2.80000e+02,2.04800e+00,1.44367e-01,yes,no,261132
?,-1.90120e+00,5.14703e+01,5.11180e-06,5.05000e+01,?,1.32600e+01,1.20800e+01,4.66000e+02,1.02400e+00,6.53241e-02,yes,yes,283320
?,-1.55210e+00,1.16329e+02,7.78940e-06,4.88000e+01,3.76000e-01,3.61200e+01,9.01000e+00,1.95000e+02,1.02400e+00,1.38123e-01,yes,no,282808
?,-1.28810e+00,7.62087e+01,2.73570e-07,9.60000e+00,?,2.46000e+00,7.07000e+00,1.82000e+02,1.02400e+00,5.22512e-02,yes,no,345945
?,-1.94080e+00,?,?,1.10000e+01,?,5.50440e+02,?,?,?,1.98440e-01,?,no,231702
?,-1.27820e+00,?,4.34910e-06,5.87000e+01,2.85000e-01,7.01400e+01,9.10000e+00,2.27000e+02,1.02400e+00,1.85231e-01,yes,yes,334112
?,-1.29450e+00,?,2.37850e-05,1.74400e+02,2.85000e-01,1.59160e+02,1.56100e+01,4.92000e+02,1.02400e+00,9.01497e-02,yes,no,224552
?,-9.54000e-01,?,9.11180e-06,1.01900e+02,?,1.58400e+01,7.17000e+00,8.30000e+01,2.56000e-01,5.79792e-02,yes,no,224364
?,-1.61920e+00,1.25171e+02,9.49270e-06,8.51000e+01,-1.70000e-02,6.89700e+01,7.54000e+00,1.83000e+02,1.02400e+00,1.15369e-01,yes,yes,380311
?,?,2.61523e+01,7.04890e-07,1.28000e+01,?,3.58400e+01,1.20800e+01,3.01400e+03,8.00000e+01,1.51935e-01,no,no,277571
?,-1.56610e+00,6.11632e+01,1.14630e-06,1.20000e+01,?,7.44000e+00,9.72000e+00,3.19000e+02,4.09600e+00,1.07501e-01,yes,no,159913
