% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:28 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}
@ATTRIBUTE A {yes, no}
@ATTRIBUTE EP0 {yes, no}
@ATTRIBUTE FL {yes, no}
@ATTRIBUTE MAX_SNR {yes, no}
@ATTRIBUTE NH_PC {yes, no}
@ATTRIBUTE T90 {yes, no}
@ATTRIBUTE bat_image_signif {yes, no}
@ATTRIBUTE bat_img_peak {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE bat_trigger_dur {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE PROB_Z_GT_4 {yes, no}

@DATA
080319B,8.202e-01,9.370e-01,-1.089e+00,1.382e+03,4.112e-04,7.254e+02,5.300e-02,1.473e+02,2.250e+01,1.909e+03,yes,1.024e+00,yes,1.697e-02
080319C,6.846e-01,1.950e+00,-1.030e+00,1.588e+02,5.376e-06,6.050e+01,7.300e-02,3.288e+01,1.510e+01,4.590e+02,yes,1.024e+00,yes,9.712e-02
080710,2.691e-01,8.450e-01,-1.260e+00,8.054e+01,3.242e-06,1.260e+01,4.200e-02,1.391e+02,8.570e+00,3.870e+02,yes,4.096e+00,yes,1.772e-01
080916A,6.430e-01,6.890e-01,-1.084e+00,1.076e+02,5.551e-06,8.930e+01,1.840e-01,6.253e+01,2.032e+01,8.600e+02,yes,1.024e+00,yes,1.408e-01
060108,1.608e-02,2.030e+00,?,4.329e+02,5.119e-07,2.050e+01,6.200e-02,1.528e+01,8.510e+00,2.420e+02,yes,1.024e+00,no,1.415e-01
091127,8.148e-01,4.900e-01,?,4.251e+01,1.239e-05,5.070e+01,3.600e-02,9.570e+00,1.795e+01,6.600e+02,yes,1.024e+00,yes,4.874e-03
090926B,5.521e-01,1.240e+00,-4.640e-01,7.825e+01,7.750e-06,6.330e+01,1.680e-01,1.264e+02,6.740e+00,1.560e+02,yes,1.024e+00,no,1.070e-01
090809,5.545e-01,2.737e+00,-1.696e+00,?,9.220e-07,1.180e+01,7.300e-02,1.929e+02,?,?,?,?,yes,1.227e-01
081118,1.290e-01,2.580e+00,?,5.181e+01,1.574e-06,1.980e+01,-4.100e-02,6.655e+01,?,?,?,?,no,1.536e-01
060708,1.516e-01,1.800e+00,-9.885e-01,9.770e+01,6.514e-07,3.010e+01,2.800e-02,7.500e+00,8.220e+00,1.610e+02,yes,5.120e-01,yes,1.166e-01
