@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.0331,-0.8437,41,7.854e-07,6.3,0.39,128,7.84,2111,80,0.2715,'no','yes','191157',0.96359151136130,0.600396401481703
0.696,-0.6803,46.37,1.285e-06,13.7,-0.079,113.2,10.01,1837,88,0.2169,'no','yes','359951',0.996276394464076,0.577191143063828
2.512,-0.5208,133.8,7.885e-06,24.4,0.026,19.38,9.79,241,4.096,0.08966,'yes','yes','335105',0.91554268100299,0.129119268385693
1.165,-0.4458,60.39,5.672e-07,10.3,0.182,52.48,7.29,187,1.408,0.1637,'yes','no','259714',0.663595162564889,0.75673140771687
1.608,-1.387,172.3,8.704e-06,52.4,0.195,57.97,8.16,163,1.024,0.1262,'yes','yes','349510',0.709414790617302,0.364715625531971
2.04,0.0691,54.89,3.424e-07,10.4,0.012,11.31,9.07,384,4.096,0.1416,'yes','yes','282003',0.97771657537669,0.0310713404323906
2.752,-1.402,59.35,2.842e-06,68.4,0.04,39.96,9.18,243,1.024,0.09921,'yes','yes','374210',0.58126239455305,0.629676964133978
0.54,-1.795,58,4.322e-06,44.7,0.076,119.5,7.13,243,4.096,0.1745,'yes','yes','221755',0.287068317644298,0.290942467749119
1.71,-1.243,140,5.175e-06,55.8,0.079,39,17.7,520,1.024,0.1039,'yes','yes','373458',0.065739884506911,0.951693599345163
5.3,-0.4337,58.16,8.082e-07,6.8,0.005,27.54,?,?,?,0.2135,?,'no','150314',0.124247320694849,0.820522285997868
0.937,-1.089,1382,0.0004112,725.4,0.053,147.3,22.5,1909,1.024,0.01697,'yes','yes','306757',0.58870869060047,0.157643105601892
1.95,-1.03,158.8,5.376e-06,60.5,0.073,32.88,15.1,459,1.024,0.09712,'yes','yes','306778',0.271160754840821,0.0826866987627
1.51,-1.415,131.7,4.531e-06,45.7,0.041,30.24,12.69,332,1.024,0.1255,'yes','yes','208169',0.177543490426615,0.732812907081097
0.542,-1.591,68.19,2.382e-05,295.2,0.592,66.33,18.67,813,1.024,0.04883,'yes','yes','425151',0.420276314252988,0.780220274813473
8.1,-0.7002,50.55,6.665e-07,31.3,0.071,12.36,8.16,203,1.024,0.1365,'yes','no','350184',0.781121924286708,0.855402835411951
0.544,-1.078,126.1,2.837e-05,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.0257249295245856,0.632432470563799
1.063,-1.284,76.77,3.826e-06,29.5,0.219,15.21,9.31,168,1.024,0.03324,'yes','yes','378559',0.127159691415727,0.584828276652843
0.92,-1.329,71.79,1.427e-06,35.8,0.073,64.18,12.12,225,0.128,0.07598,'yes','yes','284856',0.173844307661057,0.439199115848169
