@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
6.7,-0.4048,?,?,?,?,1.7619,16.7,?,?,9.39,200,1.024,0.0301146,0.0952019,0.240543,0.485038,0.848387,'yes','no',0.500696522183716,0.459829130675644,0.519911984214559,0.384088037535548,0.91026843781583,0.753546223975718,0.398143168771639,0.180527011398226,0.709422357613221,0.775628870353103
1.8,-0.9885,?,?,?,2.37e-05,2.1617,30.1,?,?,8.22,161,0.512,0.0394281,0.116582,0.275957,0.522345,0.863079,'yes','yes',0.478740565944463,0.0135517655871809,0.263914233539253,0.937437154352665,0.648820088710636,0.6993667781353,0.0913355078082532,0.946405379101634,0.691485092276707,0.139713223557919
3.425,-0.6565,?,?,?,?,2.0564,20.1,?,?,8.58,380,4.096,0.0834876,0.201207,0.404501,0.662262,0.928009,'yes','yes',0.195948082255200,0.0825104105751961,0.0724931498989463,0.542928143637255,0.978416869184002,0.00588805438019335,0.0748019812162966,0.867815001867712,0.290720551740378,0.798937395913526
2.4266,?,-2.3527,?,?,4.512e-05,2.0252,27.5,?,?,7.4,215,1.024,0.0312289,0.0703095,0.139165,0.244735,0.491676,'yes','yes',0.699562041088939,0.59891616506502,0.245741298887879,0.84449958940968,0.388423101976514,0.757011903915554,0.56602879660204,0.107844507554546,0.591802515089512,0.470979645382613
0.383,-1.1211,?,?,?,?,?,13.8,?,?,8.54,201,1.024,0.00998372,0.0386268,0.119705,0.307513,0.73048,'yes','yes',0.416150090051815,0.660734283970669,0.792943001026288,0.410288749728352,0.295279581332579,0.503998180385679,0.873076912248507,0.265959111740813,0.743851802311838,0.817403263179585
0.617,-1.5818,?,?,?,?,?,24.9,?,?,14.22,1928,64,0.0742569,0.189871,0.398865,0.668414,0.936355,'no','no',0.530402651289478,0.129337075632066,0.246684004552662,0.500975316157565,0.962855431018397,0.23513893596828,0.472891395213082,0.982208030065522,0.246687238337472,0.384307483909652
2.198,-0.992,?,?,?,3.18e-05,2.1811,60,?,?,22.78,1485,1.024,0.0169214,0.0602667,0.171777,0.396044,0.800639,'yes','yes',0.175778463250026,0.352397640235722,0.612071920651942,0.608401304343715,0.680816021980718,0.0479578215163201,0.61566936923191,0.933100930880755,0.371398762101308,0.160537880612537
1.23,-1.7095,?,?,?,?,1.7887,17.2,?,?,9.84,288,1.024,0.050505,0.139003,0.311746,0.56275,0.882884,'yes','yes',0.835294581251219,0.994251628872007,0.669470467371866,0.67910235398449,0.0233589925337583,0.470929555827752,0.930157024646178,0.102512428071350,0.695131724700332,0.379070568131283
1.261,-0.957,?,?,?,2.269e-05,2.122,330.4,?,?,15.62,384,1.024,0.0078299,0.0309487,0.100876,0.28623,0.749788,'yes','yes',0.0181084254290909,0.394120449665934,0.525997790973634,0.32584632281214,0.292663671309128,0.742058167001233,0.533061035675928,0.424241413827986,0.80137878190726,0.239309777040035
2.374,-1.6678,?,?,?,5.422e-05,1.8992,22.8,?,?,8.01,259,2.048,0.0782047,0.197561,0.406194,0.665058,0.926947,'yes','yes',0.561060005798936,0.237728654406965,0.559406557120383,0.106945629464462,0.894735342822969,0.264333912637085,0.881386302877218,0.326385670108721,0.437438127817586,0.35573736182414
2.692,?,-2.268,?,?,?,1.9224,15.9,?,?,9.48,455,4.096,0.0691755,0.151807,0.289081,0.474151,0.769392,'yes','yes',0.173942945199087,0.313767943298444,0.574354675132781,0.758714743657038,0.65420966502279,0.255524603649974,0.847790526924655,0.172319958219305,0.183410914847627,0.820483594667166
3.3,-1.7938,?,?,?,?,1.9826,37.5,?,?,8.2,231,1.024,0.0383448,0.110285,0.260638,0.503353,0.855128,'yes','no',0.00568748218938708,0.993020763853565,0.103842875687405,0.519977388437837,0.156239970587194,0.377841206267476,0.679148642113432,0.502435686066747,0.537375850835815,0.67218035296537
0.703,-0.9957,?,?,?,3.161e-05,2.1399,34.2,?,?,8.68,162,0.512,0.0520701,0.143441,0.321967,0.581015,0.896823,'yes','yes',0.534271161071956,0.86614098935388,0.914166676579043,0.0366536213550717,0.483622981002554,0.833555583143607,0.752659376012161,0.838430989999324,0.558171344455332,0.133154716575518
2.69,-1.2209,?,?,?,?,2.2763,70,?,?,10.63,213,0.512,0.031416,0.0854879,0.198377,0.404829,0.82335,'yes','yes',0.335923974169418,0.116152551490813,0.690944829024374,0.199820759007707,0.80684205587022,0.454136144602671,0.185769521165639,0.276334177469835,0.167891344055533,0.75564139499329
6.29,-1.1718,?,?,?,0.0001329,1.8576,38.4,?,?,13.26,2820,64,0.0528696,0.148584,0.335609,0.599798,0.90722,'no','no',0.0392409209161997,0.167459494201466,0.266184974461794,0.770786246517673,0.444973636418581,0.421289330581203,0.0337591054849327,0.424049311783165,0.699169747764245,0.0570019292645156
3.35,-1.7132,?,?,?,?,2.905,12.5,?,?,9.29,311,2.048,0.0585889,0.155611,0.337048,0.587704,0.892169,'yes','yes',0.767159221461043,0.290638966951519,0.331215789075941,0.256160835968331,0.650408786721528,0.368189627770334,0.965085771633312,0.381878992309794,0.0113151087425649,0.783559421775863
